input_sequence,target_word
"a,_,_,_,_,_,_,_,_,_",aku
"a,k,_,_,_,_,_,_,_,_",aku
"a,k,u,_,_,_,_,_,_,_",aku
"a,_,_,_,_,_,_,_,_,_",ayah
"a,y,_,_,_,_,_,_,_,_",ayah
"a,y,a,_,_,_,_,_,_,_",ayah
"a,y,a,h,_,_,_,_,_,_",ayah
"a,_,_,_,_,_,_,_,_,_",anda
"a,n,_,_,_,_,_,_,_,_",anda
"a,n,d,_,_,_,_,_,_,_",anda
"a,n,d,a,_,_,_,_,_,_",anda
"a,_,_,_,_,_,_,_,_,_",air
"a,i,_,_,_,_,_,_,_,_",air
"a,i,r,_,_,_,_,_,_,_",air
"a,_,_,_,_,_,_,_,_,_",apa
"a,p,_,_,_,_,_,_,_,_",apa
"a,p,a,_,_,_,_,_,_,_",apa
"a,_,_,_,_,_,_,_,_,_",ada
"a,d,_,_,_,_,_,_,_,_",ada
"a,d,a,_,_,_,_,_,_,_",ada
"a,_,_,_,_,_,_,_,_,_",atau
"a,t,_,_,_,_,_,_,_,_",atau
"a,t,a,_,_,_,_,_,_,_",atau
"a,t,a,u,_,_,_,_,_,_",atau
"a,_,_,_,_,_,_,_,_,_",ambil
"a,m,_,_,_,_,_,_,_,_",ambil
"a,m,b,_,_,_,_,_,_,_",ambil
"a,m,b,i,_,_,_,_,_,_",ambil
"a,m,b,i,l,_,_,_,_,_",ambil
"a,_,_,_,_,_,_,_,_,_",anak
"a,n,_,_,_,_,_,_,_,_",anak
"a,n,a,_,_,_,_,_,_,_",anak
"a,n,a,k,_,_,_,_,_,_",anak
"a,_,_,_,_,_,_,_,_,_",adik
"a,d,_,_,_,_,_,_,_,_",adik
"a,d,i,_,_,_,_,_,_,_",adik
"a,d,i,k,_,_,_,_,_,_",adik
"b,_,_,_,_,_,_,_,_,_",buku
"b,u,_,_,_,_,_,_,_,_",buku
"b,u,k,_,_,_,_,_,_,_",buku
"b,u,k,u,_,_,_,_,_,_",buku
"b,_,_,_,_,_,_,_,_,_",baik
"b,a,_,_,_,_,_,_,_,_",baik
"b,a,i,_,_,_,_,_,_,_",baik
"b,a,i,k,_,_,_,_,_,_",baik
"b,_,_,_,_,_,_,_,_,_",besar
"b,e,_,_,_,_,_,_,_,_",besar
"b,e,s,_,_,_,_,_,_,_",besar
"b,e,s,a,_,_,_,_,_,_",besar
"b,e,s,a,r,_,_,_,_,_",besar
"b,_,_,_,_,_,_,_,_,_",belajar
"b,e,_,_,_,_,_,_,_,_",belajar
"b,e,l,_,_,_,_,_,_,_",belajar
"b,e,l,a,_,_,_,_,_,_",belajar
"b,e,l,a,j,_,_,_,_,_",belajar
"b,e,l,a,j,a,_,_,_,_",belajar
"b,e,l,a,j,a,r,_,_,_",belajar
"b,_,_,_,_,_,_,_,_,_",benar
"b,e,_,_,_,_,_,_,_,_",benar
"b,e,n,_,_,_,_,_,_,_",benar
"b,e,n,a,_,_,_,_,_,_",benar
"b,e,n,a,r,_,_,_,_,_",benar
"b,_,_,_,_,_,_,_,_,_",bagus
"b,a,_,_,_,_,_,_,_,_",bagus
"b,a,g,_,_,_,_,_,_,_",bagus
"b,a,g,u,_,_,_,_,_,_",bagus
"b,a,g,u,s,_,_,_,_,_",bagus
"b,_,_,_,_,_,_,_,_,_",buah
"b,u,_,_,_,_,_,_,_,_",buah
"b,u,a,_,_,_,_,_,_,_",buah
"b,u,a,h,_,_,_,_,_,_",buah
"b,_,_,_,_,_,_,_,_,_",biru
"b,i,_,_,_,_,_,_,_,_",biru
"b,i,r,_,_,_,_,_,_,_",biru
"b,i,r,u,_,_,_,_,_,_",biru
"b,_,_,_,_,_,_,_,_,_",bisa
"b,i,_,_,_,_,_,_,_,_",bisa
"b,i,s,_,_,_,_,_,_,_",bisa
"b,i,s,a,_,_,_,_,_,_",bisa
